"English sentence","Swahili Translation"
"She did not want to stay.","Hakutaka kukaa."
"Then I made inquiries as to this mysterious assistant and found that I had to deal with one of the coolest and most daring criminals in London.","Kisha mimi alifanya maswali kama hii msaidizi wa ajabu na kugundua kwamba mimi alikuwa na kukabiliana na mmoja wa wahalifu coolest na wengi daring katika London."
"Don't get me involved in this crap.","Hawapati mimi kushiriki katika crap hii."
"Queequeg, look here--you sabbee me, I sabbee--you this man sleepe you--you sabbee?""","Queequeg, angalia hapa - wewe sabbee mimi, mimi sabbee - wewe mtu huyu sleepe wewe - wewe sabbee? """
"Gather'd in shoals immense, like floating islands,","Gather'd katika shoals kubwa, kama visiwa floating,"
"""But how can I sleep?","""Lakini jinsi gani mimi usingizi?"
"Not a word was spoken until the last echoes of the slam had died away.","Hakuna neno lililonenwa iliyopewa kichwa mpaka mwisho ya slam alikufa mbali."
"Rumor said that he had been a soldier at Waterloo.","Uvumi alisema kwamba alikuwa askari katika Waterloo."
"Somebody went sheepishly and called for Mrs. Hall.","Mtu akaenda sheepishly na kutoa wito kwa Bi Hall."
"Did he say anything to you?","Je, wanasema chochote wewe?"
"I like Jungwoo too!","Mimi kama Jungwoo pia!"
"He no longer trusted himself to decide any more.","Yeye tena kuaminiwa mwenyewe kuamua tena."
"Quickly and with his eyes watering with satisfaction, he ate one after the other the cheese, the vegetables, and the sauce. The fresh food, by contrast, didn't taste good to him.","Haraka na kwa macho yake ya kumwagilia na kuridhika, akala mmoja baada ya mwingine jibini, mboga mboga, na mchuzi. chakula safi, kwa upande wake, hakuwa na ladha nzuri kwake."
"Ere he that should be husband comes to woo.","Kabla ya kuwafikia yeye kwamba lazima mume anakuja woo."
"He looked at the Gryphon as if he thought it had some kind of authority over Alice.","Alipomwona Gryphon kama alidhani alikuwa na aina fulani ya mamlaka juu ya Alice."
"But even this wears off in time.","Lakini hata hili wears mbali kwa wakati."
"Well then, what if he reported in sick?","Vizuri basi, ni nini kama ilivyoripotiwa katika ugonjwa?"
"APOTHECARY Such mortal drugs I have; but Mantua's law Is death to any he that utters them.","APOTHECARY kama dawa ya kufa mimi, lakini sheria Mantua ni kifo kwa mtu yeyote yule aliyemsingizia yao."
"Marriage, accept it with grace.","Ndoa, kukubali kwa neema."
"I will go call the watch.","Nitakwenda kupiga kuangalia."
"""If there was a grand Missus at","""Kama kulikuwa na Missus grand katika"
"That's not th' way for a young lady to talk.","Hiyo si th 'njia kwa ajili ya mwanamke kijana wa kuzungumza."
"She is the fairies' midwife; and she comes In shape no bigger than an agate-stone","Yeye ni mkunga fairies '; na yeye huja Katika sura hakuna kubwa kuliko jiwe akiki nyekundu-"
"Duchess, 'as pigs have to fly; and the m--'","Duchess, 'kama nguruwe na kuruka, na m -'"
"- Goodness...","- Fadhili..."
"She walked away, slowly thinking.","Alitembea mbali, polepole kufikiri."
"Both gentlemen started violently, looked round, and were relieved to see a sporadically rosy face beneath a furry silk hat.","Wote waungwana kuanza kwa ukali, akatazama pande zote, na walikuwa na kuondoka kuona sporadically rosy uso chini ya kofia furry hariri."
"- Let's just do it.","- Hebu tu kufanya hivyo."
"Did they encourage you to select English?","Je, moyo kuchagua Kiingereza?"
"Oh, you're here!","Oh, Wewe ni hapa!"
"at night we have our procedure 11:30 it has to be off so if your the last to get in you turn it off or even if is not eleven if we are all in we switch it off","na usiku tumejiekea sistimu saa tano tuna zima kwahiyo mtu wa mwisho kuingia anazima au kama kabla ya saa tano kama wote msha ingia mnazima"
"""Thanks,"" he said concisely, as she put them down, and turned his shoulder upon her and stared out of the window again.","""Asante,"" alisema concisely, kama yeye kuweka yao chini, na akageuka bega lake juu yake na stared nje ya dirisha tena."
"- Sir, you must be seated.","- Mheshimiwa, wewe lazima amekaa."
"PETER Musicians, O, musicians, 'Heart's ease,' 'Heart's ease':","PETER wanamuziki, O, wanamuziki, 'Moyo wa urahisi,' 'Moyo wa kupunguza':"
"LADY CAPULET That same villain Romeo.","LADY CAPULET hiyohiyo Romeo villain."
"NURSE My fan, Peter.","Muuguzi mashabiki wangu, Peter."
"That's better! Right? See?","Haya, tuko tayari."
"Ah, poor my lord, what tongue shall smooth thy name, When I, thy three-hours' wife, have mangled it?--","Ah, maskini bwana wangu, nini itakuwa ulimi laini jina lako, Wakati mimi, wako tatu masaa mke, na mangled hivyo? -"
"All of you that are veterans, raise your hands so we can give you a round of applause and say","Maveteran wote inueni mikono tuwaone ndio tuwashangilie na tuwape"
"It was beautiful, historical, artistically subtle in a way that science can't capture, and I found it fascinating.","Kujifunza huko kulikuwa kuzuri, kwenye usanaa usio na kujivuna mbali na mazingira ya kisayansi, kwangu mimi nilivutiwa kupindukia."
"BENVOLlO An if he hear thee, thou wilt anger him.","BENVOLIO kusikia kama wewe, utaona hasira yake."
"New Orleans has a parade. (Laughter)","New Orleans kuna gwaride.(Vicheko)"
"We have the capacity to do it.","Tuna uwezo wa kutenda."
"And here poor Alice began to cry again, for she felt very lonely and low-spirited.","Na hapa maskini Alice akaanza kulia tena, kwa alihisi upweke sana na chini spirited."
"The kind of neuroscience that I do and my colleagues do is almost like the weatherman.","Hii sayansi ya ubongo ninayofanya na wenzangu ni kama mtabiri wa hali ya hewa."
"35) and forty-five (tsh.","35) na arobaini na tano(tsh."
"The Frog-Footman repeated, in the same solemn tone, only changing the order of the words a little, 'From the Queen. An invitation for the Duchess to play croquet.'","Frog-Footman mara kwa mara, katika tone moja kabisa, tu kubadilisha utaratibu wa maneno kidogo, 'From Queen. mwaliko kwa Duchess kucheza croquet. '"
"Medlock was shaking her.","Medlock alikuwa kutetereka yake."
"""And circumstances certainly point--"" ""Stuff and nonsense!"" said the Invisible","""Na hali ya shaka uhakika -""! ""Natumaini hivyo, sir, lakini Mimi nimepata yangu maelekezo. """
"Then we'll see.","Basi tutaweza kuona."
"When I opened my door in the evening, off they would go with a squeak and a bounce.","Wakati mimi alifungua mlango wangu jioni, mbali wangeweza kwenda na squeak na Bounce."
"I keep it only to safeguard myself, and to preserve a weapon which will always secure me from any steps which he might take in the future.","Mimi kushika ni kulinda tu mwenyewe, na kuhifadhi silaha ambayo daima salama mimi kutoka hatua yoyote ambayo inaweza kuchukua katika siku zijazo."
"He was a remarkably handsome man, dark, aquiline, and moustached--evidently the man of whom I had heard.","Yeye ni mtu inashangaza mzuri, giza, aquiline, na moustached - dhahiri ya mtu ambaye mimi nilikuwa habari."
"Meow~","Meow ~"
"I'm a man, ain't I?","Mimi ni mtu, si mimi?"
"'How the devil,' said I, 'can you move an empty sleeve like that?'","'Jinsi shetani,' alisema mimi, unaweza hoja sleeve tupu kama haya?"
"If you still don't know.","Kama bado hawajui."
"Suddenly the dog began growling again.","Ghafla mbwa wakaanza guno tena."
"A Frenchman or Russian could not have written that.","A Mfaransa au Kirusi hakuweza kuwa Imeandikwa hiyo."
"He managed to do this easily, and in spite of its width and weight his body mass at last slowly followed the turning of his head.","Aliweza kufanya hivyo kwa urahisi, na licha ya upana wake na uzito wa mwili wake molekuli katika polepole mwisho ikifuatiwa kugeuka ya kichwa chake."
"That you shall all repent the loss of mine: I will be deaf to pleading and excuses;","Ndipo wote kutubu hasara yangu: mimi kuwa viziwi maombi na udhuru;"
"He will be good enough to forgive the mess in your room.""","Yeye itakuwa nzuri ya kutosha kusamehe fujo katika chumba yako ""."
"I mark its still tender, civil, cheerful lilac colors.","Mimi alama, bado yake zabuni ya kiraia, furaha rangi lilac."
"Put it down; turned his head.","Kuiweka chini; akageuka kichwa chake."
"He felt a slight itching on the top of his abdomen.","Alijisikia kuwasha kidogo juu ya tumbo lake."
"It is an old trick.""","Ni hila za zamani. """
"I'm just gonna.. just do your business I'm not gonna do this.","Mimi tu gonna .. tu kufanya biashara yako Mimi si gonna kufanya hivyo."
"Too large for easy concealment about a woman's dress.","Kubwa mno kwa stara rahisi kuhusu kanzu."
"Instead of these, however, he had only many small limbs which were incessantly moving with very different motions and which, in addition, he was unable to control.","Badala ya haya, hata hivyo, alikuwa na viungo wengi tu ndogo ambayo walikuwa incessantly kusonga kwa mwendo tofauti sana na ambazo, pamoja, hakuweza kudhibiti."
"I am doing more.","Mimi ni kufanya zaidi."
"And all they bottles--more'n it's right for any one to have.","Na wote chupa wao - more'n ni haki kwa mtu yeyote kuwa."
"His hands would go ever and again to his various pockets with a curious nervous fumbling.","Mikono yake aliamua kwenda milele na tena kwa mifuko yake mbalimbali na neva curious fumbling."
"JULlET My only love sprung from my only hate!","Juliet upendo wangu tu imeibuka na chuki yangu tu!"
"The adventures first,' said the Gryphon in an impatient tone: 'explanations take such a dreadful time.'","Adventures kwanza, 'alisema kwa sauti ya Gryphon papara: maelezo ya kuchukua vile wakati Kubwa."
"In addition to my work, an accident--""","Mbali na kazi yangu, ajali - """
"Where is she?","Yuko wapi?"
"""No."" ""Tha' doesn't know how good it is.","""Hapana"" ""Tha 'hajui jinsi nzuri ni."
"ROMEO But that a joy past joy calls out on me,","Romeo Lakini zamani furaha furaha wito nje juu yangu,"
"Where is he.","Yuko wapi."
"Sir, this is the new intern Park Sangmin.","Mheshimiwa, hii ni mpya Intern Park Sangmin."
"- No!","- No!"
"Alice was very glad to find her in such a pleasant temper, and thought to herself that perhaps it was only the pepper that had made her so savage when they met in the kitchen.","Alice alifurahi sana kupata wake katika hasira mizuri kama hii, na walidhani yeye mwenyewe kwamba labda ni pilipili tu kwamba alifanya yake ili savage walipokutana katika jikoni."
"By Heaven!","By mbinguni!"
"I told everyone: the police, my neighbors, my friends and family, total strangers, and I'm here today because you all helped me.","Nikawaeleza watu wote: polisi, jirani zangu, marafiki zangu na familia, wageni, na niko hapa leo kwa sababu nyote mlinisaidia."
"She had quite forgotten the Duchess by this time, and was a little startled when she heard her voice close to her ear.","Alikuwa na wamesahau kabisa Duchess kwa wakati huu, na alikuwa kidogo startled wakati yeye kusikia sauti yake karibu na sikio lake."
"--OBED MACY'S HlSTORY OF NANTUCKET.","HISTORIA Obed Macy YA NANTUCKET -."
"My grandson was still asleep when we were being evicted.","Mjukuu wangu alikuwa bado amelala tulipokuwa tukitolewa kwenye nyumba zetu."
"""But if you wanted to make a flower garden,"" persisted Mary, ""what would you plant?"" ""Bulbs an' sweet-smellin' things--but mostly roses.""","""Lakini kama alitaka kufanya bustani ya maua,"" wakawa Maria, ""ungefanya ? kupanda "" Bulbs mambo 'tamu-smellin' - lakini roses zaidi. """
"In fact, she perceived the dirt as much as he did, but she had decided just to let it stay.","Kwa kweli, yeye alijua uchafu kama vile alifanya hivyo, lakini yeye aliamua tu basi ni kukaa."
"And yet his sister was playing so beautifully.","Na hata hivyo dada yake kucheza hivyo uzuri."
"ROMEO Nay, that's not so.","Romeo Bali, siyo hivyo."
"So she began again: 'Ou est ma chatte?' which was the first sentence in her French lesson-book.","'Ou est ma chatte?' Ambayo ni hukumu ya kwanza kwa Kifaransa yake somo-kitabu."
"""Let me see,"" said Holmes, standing at the corner and glancing along the line, ""I should like just to remember the order of the houses here.","""Napenda kuona,"" alisema Holmes, wamesimama katika kona na glancing kwenye mstari, ""Mimi lazima kama tu kukumbuka amri ya nyumba hapa."
"The reason? Today's current ""modern"" medicine is a 60-year-old technique.","Sababu?mfumo wetu wa utabibu na dawa una umri wa miaka karibu 60 sasa."
"""And what do you mean with Western world?"" I said.","""Na una maana gani kwa kusema dunia ya magharibi?"" Niliuliza."
"'YOU'D better not talk!' said Five.","'YOU d bora si majadiliano!' Alisema tano."
"Tom, LA.","Tom, LA."
"Is she not down so late, or up so early?","Je, yeye si chini ili marehemu, au up hivyo mapema?"
"Cooking was then, for the most part, no longer a poetic, but merely a chemic process.","Cooking alikuwa basi, kwa sehemu kubwa, tena mashairi, lakini tu chemic mchakato."
"See how she leans her cheek upon her hand!","Kuona jinsi yeye leans shavu wake mkononi mwake!"
"And since that time it is eleven years; For then she could stand alone; nay, by the rood","Na tangu wakati huo ni miaka kumi na moja, Kwa maana basi yeye anaweza kusimama peke yake, bali kwa rood"
"Nor bide th' encounter of assailing eyes, Nor ope her lap to saint-seducing gold:","Wala bide kukutana th 'ya macho assailing, Wala ope Lap yake kwa dhahabu saint-zidanganyazo:"
"Maybe if you don't understand that, well, I do.","Labda kama si kuelewa kwamba, vizuri, sijui."
"But though comparatively disregarded now, when his day comes, laws unsuspected by most will take effect, and masters of families and rulers will come to him for advice.","Lakini, hata kama comparatively kutupilia sasa, wakati siku yake inakuja, sheria unsuspected na itachukua zaidi athari, na wakuu wa familia na watawala tutakuja kwake kwa ushauri."
"You are already naked.","Umeshaonekana bayana mtupu."
"Methinks I see thee, now thou art below,","Methinks mimi nakuona wewe, sasa wewe ni chini,"
"And when he speaks of Irene Adler, or when he refers to her photograph, it is always under the honourable title of the woman. &gt;","Na hapo inazungumzia Irene Adler, au wakati inahusu picha yake, ni daima chini ya kichwa heshima ya mwanamke. &gt;"
"""Touching that monstrous bulk of the whale or ork we have received nothing certain.","""Kugusa kwamba wingi kuchusha mno ya nyangumi au ork tumepata kitu fulani."
"Is not good.","Siyo nzuri."
"She heard neither voices nor footsteps, and wondered if everybody had got well of the cholera and all the trouble was over.","Aliposikia sauti wala nyayo, na kujiuliza kama kila mtu alikuwa got vizuri ya kipindupindu na matatizo yote juu ya."
"""Once he gets the things off--""","""Mara baada ya yeye anapata mambo mbali -"""
